01-2
1,Ambitious Outsiders,,8,10,9,10,10,8,10,8.5,10,7,10,10,10,9,3,8,8.5,5,5,7.5,10,8,7,6,4,,9,8,,10,5.5,5,10,5,5,9,8,,5.5,7,6,8,7.5,5,6,9,8,7,8,10,279.5
2,Sexwave,,,,,,,,,,,8,9,7,5,7.5,6,10,7,6,1,9,8,10,10,9,2,,5,3,,,10,10,9,6,8.5,10,7,8,7,5,5,6,10,9.5,8,10,9,10,3,4,277.5
3,Hunt,,,,,,,,,,,9,,9,8,6,8,5,8.5,9,10,7.5,9,9,9,10,9,,8,9,,6,5.5,7,5.5,9,6,5,10,1,3,8,7,5,3.5,7,4,,6,4,4,8,257.5
4,Lootuste Linnutee,,,,,,,,,,,1,5,6,9,3.5,2,,2,8,4,,,,5,5,5,,10,10,,8,9,8.5,2,8,8.5,7,9,7,10,10,10,10,9,,7,4.5,3,6,7,9,228
5,Tuulispask,,,,,,,,,,,10,7,8,7,10,5,,3.5,2,6,6,6,0.5,4,7,10,,7,7,,9,,,4,7,4,8,3,6,5.5,4,8.5,4,6,8,3,2,2,9,5,5,209
6,Tissid,,,,,,,,,,,,,0.5,,2,10,6,5,1,7,4,7,5.5,,8,8,,6,5,,5,7.5,6,3,10,7,6,,9,9,1,4,,5,6,10,4.5,7,8,9,6.5,198.5
7,Peeter I,,,,,,,,,,,,4,0.5,,1,,2.5,3.5,4,9,2.5,3,3,3,3,3,,4,6,,7,7.5,1.5,,4,2.5,4,5,10,8,6,8.5,3,1,9.5,,7,,1.5,10,3,151
8,Erinevad Esitajad,,,,,,,,,,,6,8,5,6,7.5,,9,10,7,,5,1,5.5,8,2,7,,3,4,,2,,3,,,1,,6,5,2,2.5,2,7,,2.5,5,,,,,1,133
9,Karini Saiad,,,,,,,,,,,,3,3,,3.5,1,7,,3,2,10,5,4,6,4,,,2,1,,,,1.5,1,3,,3,,4,4,,3,,2,4,2,6,1,1.5,,2,92.5
10,Softgrunge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,10,5,6,,38
11,Ma tean seda lugu küll,,,,,,,,,,,,,,3,,4,2.5,1,,,,4,2,0.5,,,,,,,2,,,,1.5,2.5,,1,,,,,,,,1,,4,,1.5,,30.5
12,Onu Eerb ja Pistaatsmann,,,,,,,,,,,,,4,,,9,4,,,8,,,0.5,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,28.5
13,Kukkel,,,,,,,,,,,,6,2,,,7,,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
14,Näljased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,9,,,,,,,,6.5,25.5
15,Lendavad Ruudulised Sebrad,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,8,,,1,,2,,2.5,,,,2.5,,3,,,1.5,,22.5
16,Öövahetus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,4,,5.5,,,,,,,,,,,,,,,,,,13.5
17,Hell No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1.5,,,,,,,,,,,,,,,,,12.5
18,Marodöörid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,4,,,,,,,,,,,,,,12.5
19,Tuhat Nullpointerit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,7.5,,,,,3,,,12.5
20,Terrence Trent Derby County,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
21,Väike-Maarja DJ Tehnikum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,9
22,Velosiped N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,,2,,,,,,,,,9
23,Mutid,,,,,,,,,,,2,,,,,,1,,,,1,,,0.5,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,6.5
24,1 Sick Aff,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6
25,Mood,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
26,Põhjaka,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
27,Vanaisa kirves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5
28,Jopantonio,,,,,,,,,,,,,,,,,,,,,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
29,Alliksaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4
30,Eesti Koondis,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
31,Must Puudel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,3.5
32,Köömes,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
33,Justiitsministeerium,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
34,Algajad,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
35,Pahad Köömned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
36,Bremeni Linna Moosekandid,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
37,Maiad Miisud,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
