10
1,Mikri Hiir,10,10,,10,7,5,9,,10,8,9,6,9,9,9,6.5,10,10,10,147.5
2,Sexwave,9,9,9,,8,4,3,8,9,9,8,7,8,7,6,8,8,7.5,8,135.5
3,Verine Akordion,6,5,5,6,,9,8,10,6.5,5,10,4,5,10,7,10,5,5,9,125.5
4,Autorollo,7,8,10,4,5,10,7,9,,6,7,5,1,5,10,6.5,6,9,3,118.5
5,Lootuste Linnutee,8,,6,9,4,7,,5,8,10,6,9,7,6,,5,9,2,2,103
6,Tuulispask,5,6,7.5,2,9,7,,1,6.5,7,,2,6,4,8,9,7,7.5,5.5,100
7,Softgrunge,4,3,7.5,,10,7,,6.5,4,,,8,10,8,,,,6,7,81
8,Hullud Ponid,2,4,2,8,3,,5,2.5,2,1,4,2,,3,2,3,,3.5,5.5,52.5
9,Audio Video Disko,3,7,1,1,6,3,6,4,1,2,,,4,2,5,,3,,,48
10,Lendavad Ruudulised Sebrad,,,,,1.5,,1.5,,5,3.5,5,10,2,,3,4,4,,1,40.5
11,Karini Saiad,1,,4,,1.5,1,1.5,2.5,3,3.5,3,2,3,1,,,2,,,29
12,Erinevad Hundid,,,,3,,,,6.5,,,,,,,4,0.5,1,3.5,,18.5
13,Kuulaja Kõrva Ei Röögita,,,3,5,,2,4,,,,,,,,,,,,4,18
14,Kanye Westons,,,,,,,10,,,,,,,,,,,,,10
15,Poisonous Monkey,,,,7,,,,,,,,,,,,,,,,7
16,Liiga Palju Möla,,,,,,,,,,,2,,,,,0.5,,1,,3.5
17,10 inch toes,,,,,,,,,,,,,,,1,,,,,1
