11
1,Sexwave,8.5,9,,8,8,9,8,7,8,10,3,9,5,5,8,10,10,7.5,5,9,9,,7,10,8,7,10,9,9,9,7,8,8,9,5,262
2,Verine Akordion,10,8,6,9,,6,5,9,5,5.5,6,7,9,7,9,7,5,10,10,6,10,9,,9,9,9,7,6,6,8,9,10,9,10,7.5,258
3,Lootuste Linnutee,3,10,9,10,3,,9,9,6.5,9,8,6,1,10,10,9,8,6,2,10,5,10,10,,10,6,9,10,10,10,10,4,10,5,10,257.5
4,Mikri Hiir,7,,10,7,6,8,10,9,10,8,9,8,2,9,6,8,7,7.5,9,8,,7,5,8,6,10,8,8,8,7,8,9,7,8,9,256.5
5,Autorollo,4,7,8,5,7,7,,5,,7,7,1,8,4,5,5,9,4,7.5,4,8,6,9,6.5,7,,6,,7,3,5,7,5,,6,180
6,Tuulispask,8.5,4,7,,9,5,,3,6.5,3,2,5,10,6,2,3,3.5,1,3,5,4,5,8,2,,8,3.5,4,,6,6,6,6,6,7.5,158.5
7,Softgrunge,6,6,,6,10,2,,6,,1,10,10,,8,1,6,6,9,,7,7,8,2,6.5,5,,,7,2.5,5,,,4,1,3,145
8,Kuulaja Kõrva Ei Röögita,,2,1.5,2,2,10,7,1,3,5.5,4.5,3,3,3,,,3.5,5,4,1,2,1,4,4.5,3,5,3.5,1.5,4,,3,5,1.5,3.5,4,106.5
9,Hullud Ponid,,5,3,,5,3.5,3,,2,,4.5,,6,1,4,4,2,3,7.5,3,1,3,6,1,1,3,2,,5,2,1,,3,3.5,,88
10,Lendavad Ruudulised Sebrad,,,5,3,0.5,,2,4,4,4,,,,,3,,1,2,6,,,4,3,4.5,4,4,,1.5,0.5,4,,1,,7,,68
11,Audio Video Disko,1,,4,1,4,1,,,,,,4,7,,7,,,,1,,6,,1,3,2,1,5,5,2.5,,2,3,,,1,61.5
12,Karini Saiad,,3,,4,,,4,2,,2,1,2,4,2,,2,,,,2,3,,,,,2,,3,0.5,,,2,1.5,,,40
13,Erinevad Hundid,5,,1.5,,0.5,3.5,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
14,Ye Westons,,,,,,,,,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,10
15,Endel Meri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,6
16,Liiga Palju Möla,,0.5,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,1,,,,,,4.5
17,Ambitious Outsiders,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
18,Remake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
19,Bunnymen,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
20,Vabandust!,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
