12
1,Verine Akordion,10,8.5,,10,9,3,6,10,10,8,5,9,10,10,10,7,9,9,10,,7,9,9,10,9,10,9,10,6,10,5,8.5,10,10,10,10,9,305
2,Lootuste Linnutee,9,10,8,,10,8,10,6,8,10,7,10,8,7,9,10,7,4,9,10,,10,10,7,4,6,10,9,9,9,4,5,8,6,6,8,10,281
3,Mikri Hiir,1,8.5,10,4,,6,8,7,5.5,7,10,8,8,5,8,1,4.5,10,8,7,8,7,7,,10,9,8,7,10,8,6.5,7,9,9,8,7,,247
4,Sexwave,6,,9,9,4,9,9,8,9,9,8,6,5,9,7,9,10,8,5.5,7,4,3.5,,4,8,8,1.5,3.5,8,5.5,8,3.5,7,7,9,9,8,244
5,Tuulispask,7.5,7,7,3,7,10,7,,,4,,3,3.5,6,5,8,2.5,1.5,5.5,5,9,1,7,8,,1,1.5,6,5,4,6.5,8.5,5,8,4,4.5,3,174.5
6,Autorollo,7.5,5,6,7,3,,,3,7,5,4,5,8,3,,3.5,2.5,6,4,7,6,8,5,3,5,5,,1.5,7,5.5,10,6,,3,3,2,5,161.5
7,Softgrunge,4,1,3.5,8,2,7,4,5,,6,9,1,,8,4,3.5,8,5,,9,1,1,7,6,7,7,7,8,,7,,1.5,3,2,5,3,7,160.5
8,Kuulaja Kõrva Ei Röögita,2.5,3.5,3.5,5,6,0.5,5,,4,,6,4,1.5,4,6,,4.5,7,7,0.5,5,6,4,9,2,4,6,1.5,,3,9,10,4,,1,,6,141
9,Lendavad Ruudulised Sebrad,2.5,,0.5,6,8,0.5,,2,1,,2,,6,,3,6,6,1.5,1,4,10,3.5,3,1,6,,5,,4,,,,1,,7,4.5,4,99
10,Hullud Ponid,,6,5,2,1,,1,1,,1,3,2,,2,2,2,1,3,,0.5,3,1,,5,1,,3,,,,2,,,5,,6,,58.5
11,Audio Video Disko,,3.5,,,5,,3,4,3,2,,7,3.5,,1,5,,,,,,,,,3,3,,,2,,3,3.5,2,,,1,,54.5
12,Endel Meri,5,2,0.5,1,,5,,9,2,,,,,,,,,,3,,,5,2,,,,,5,,1,,,6,,,,2,48.5
13,Karini Saiad,,,,,,,2,,,,1,,,,,,,,,2,2,,1,2,,2,4,3.5,3,2,1,,,4,2,,1,32.5
14,Liiga Palju Möla,,,,,,2,,,,,,,1.5,1,,,,,,,,,,,,,,,1,,,1.5,,1,,,,8
15,Halal Club,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
16,Kanye Westons,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
17,Tehnohooldus,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,5
18,Väga üksildase kuke portree,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
