13
1,Lootuste Linnutee,9,9,,8,9,9,8,9,6,10,10,10,9.5,7,10,10,9,10,10,10,9,,9,7,9,6,10,10,8,7,10,10,9,9,285.5
2,Verine Akordion,10,,10,6,7,7,10,10,10,8.5,9,9,8,4,9,8.5,10,9,9,8,8,9.5,,10,10,10,6.5,9,5.5,10,9,6.5,10,,266
3,Sexwave,3,8,9,,10,8,7,8,8,7,2.5,6.5,3.5,8,8,5.5,7,8,6,9,6,9.5,10,,8,9,8.5,8,2,9,7,9,6,10,234
4,Autorollo,6,1,8,4,6,,5,2,5,,2.5,4,7,2,3,2,,6,7,4,4,6,8,9,6,8,6.5,,10,8,8,6.5,8,6,168.5
5,Mikri Hiir,7,6,5,7,8,6,,6,9,8.5,6,6.5,9.5,9,5.5,,6,,4,5,5,,6,5,,,8.5,7,9,,,5,3,3,165.5
6,Softgrunge,,10,2,9,,10,4,7,,6,,8,5,1,1.5,1,4,,3,7,3,5,6,8,1,7,5,4.5,3.5,6,,8,4,8,147.5
7,Tuulispask,2,5,7,10,5,4,2,,7,2,,1,6,3,4,4,8,1,5,6,10,3,6,4,,5,4,4.5,5.5,,5,4,6,7,146
8,Kuulaja Kõrva Ei Röögita,4,3,,2,2,5,9,,1,,7,2,1,5.5,,8.5,3,7,8,2,7,8,,6,7,4,,6,7,5,,,6,,126
9,Audio Video Disko,1,2,3.5,,,3,,5,2.5,0.5,5,,3.5,,5.5,5.5,5,4,,,,,,2,4.5,3,3,1,,3,4,2,,,68.5
10,Hullud Ponid,8,7,,1,4,,1,,,3.5,1,,,,7,,2,3,2,,2,2,4,,4.5,,,,1,2,1.5,3,,5,64.5
11,Lendavad Ruudulised Sebrad,,4,3.5,5,,,6,4,2.5,0.5,,5,,,,3,1,2,,2,1,1,1.5,,2,,,,,1,,,,2,47
12,Karini Saiad,5,,1,3,3,1,3,3,,3.5,,,2,,,,,,,2,,,,3,,,1,3,,,1.5,,1,4,40
13,Kibe Tõde,,,,,,,,,4,,4,,,,1.5,7,,,,,,,1.5,,,2,,2,,4,3,,,1,30
14,Liiga Palju Möla,,,,,,,,1,,5,,3,,,,,,5,,,,4,3,1,,1,,,,,,1,2,,26
15,Damn Good Coffee,,,,,,,,,,,,,,10,,,,,1,,,,,,3,,,,3.5,,,,,,17.5
16,Lootusetuse Linnutee,,,6,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,13
17,Estony Blair,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8
18,Kanye Westons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6
19,Euroopa Hõbe,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,5.5
20,Endel Meri,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
21,Me ei võida,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
22,Väga üksildase kuke portree,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
