06
1,Sexwave,5,4,9,7,9,,5,9,10,9.5,9,10,6,6.5,10,6,9,7.5,5,9,3,10,5,10,4,3,3,10,7,10,,7.5,9,10,10,9,9,7,8.5,9,7,296.5
2,Autorollo,8.5,9,3,9,4,8,,10,8,1.5,,7,7.5,6.5,7,9.5,1,9,7,5,10,8,4,7,10,9,9,8,3,5.5,6,7.5,8,,3,10,7.5,9,7,4.5,3,259.5
3,Ambitious Outsiders,,7,7,8,8,9,2.5,6,,5,,9,10,5,9,9.5,4,10,8,8,9,8,2,8,8,5,4,,4,1,2,10,6,7,,,10,6,6,10,10,241
4,Softgrunge,6,8,,10,,10,9.5,7.5,,,7,,,10,5,8,10,7.5,9.5,10,6,5.5,10,9,,8,,,9,8,9,,7,8,9,8,,10,3,,9,236.5
5,Lootuste Linnutee,8.5,6,10,2,7,7,9.5,,9,7,5,6,7.5,9,1.5,5,8,5,6,3,1,8,9,4,6,6.5,10,5.5,,5.5,8,6,3.5,6,5,,7.5,4.5,1,7,5,231
6,Quiztina Aguilera,10,4,4.5,,1.5,2,2.5,7.5,,6,10,,2.5,,6,,6,1,9.5,5,5,3,7,6,,1,8,4,10,9,10,,5,1,7,6,4,4.5,10,,6,184.5
7,Tuulispask,,10,,2,10,4.5,7,3,4.5,9.5,6,,2.5,8,,7,3,3,,5,,4,8,5,5,4,2,7,,7,4,4,10,9,6,3,4,3,,6,8,184
8,Verine Akordion,,,1,6,5,2,1,4.5,6,8,,5,4,,,2.5,,6,,,2,,6,2,9,,7,3,0.5,4,7,9,,4,8,,,8,4.5,4.5,,129.5
9,Hunt,7,4,8,2,3,2,8,4.5,1,,3,8,,1,3,4,5,2,1,7,4,2,,1,2,2,,0.5,,2,5,2,,5,2,2,6,,8.5,,4,121.5
10,Lendavad Ruudulised Sebrad,,2,,5,,,6,,3,,,,,4,,,,,3,,7,5.5,,,7,10,6,0.5,6,,1,,,,,7,2,,4.5,8,,87.5
11,Ma Tean Seda Lugu Küll,1.5,1,,,6,,,,,3,4,2,9,,,1,2,,2,,8,,1,,,,,9,8,,3,1,1,3,4,5,4,2,,3,2,85.5
12,Hullud Ponid,4,,4.5,,,4.5,,1,,,1,3,1,,8,,,4,,1,,1,,3,,6.5,1,5.5,,,,5,,,,1,0.5,,2,2,,59.5
13,Nõmme Kolju,1.5,,2,4,1.5,6,4,2,7,,8,4,5,2,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,58
14,Kanye Westons,,,,,,,,,,4,,1,,,1.5,,,,4,,,,,,,,5,,5,3,,,3.5,,,4,,,,1,,32
15,Karini Saiad,,,,,,,,,2,,2,,,3,,2.5,,,,,,,,,3,,,2,,,,,,2,,,,1,,,,17.5
16,Erinevad Esitajad,,,,,,,,,4.5,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,0.5,,,,,9
17,Liiga Palju Möla,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,8
18,Kylvi Sääst,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4
19,Tark Liha,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3.5
20,Eksprompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3
21,Liiviste,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,3
22,Rakvere ihakombinaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5
