07
1,Sexwave,,9,10,8.5,6,9,9,10,7,7,1,8,9,9,6,10,10,4.5,7,3,9,,10,10,10,8,6,10,9,5,8,10,4,10,9,10,9,3.5,283.5
2,Verine Akordion,4,7,7,7,4,6,10,,6,8,8,7,6.5,10,7,6,8,4.5,10,9,8,8,7.5,,5,9,10,7,5.5,3.5,9,6,10,8,10,9,10,2,262.5
3,Mikri Hiir,10,10,6,10,7.5,,7,6,8,5,10,5.5,10,6,10,8,6,6.5,9,4.5,,9.5,6,7,2.5,6,3,8,3.5,,5,9,5,4.5,8,6,1,5.5,234.5
4,Softgrunge,1.5,3,2,,9,10,8,8,10,10,9,5.5,8,7,5,7,3.5,1.5,6,4.5,7,9.5,5,9,,10,5,4,7,,10,2,9,9,,7.5,5.5,7,225
5,Autorollo,9,,3,1,10,5,5,3,9,4,3,9,5,2,8,5,9,9,3,6,3,4,9,4.5,9,7,,5,10,9.5,4,7,8,6,2,2,5.5,10,213.5
6,Tuulispask,6,4.5,9,8.5,7.5,7,,,,9,,2,6.5,3.5,3.5,9,3.5,10,1,10,4,1,4,3,2.5,3,9,,8,3.5,7,8,1,7,6,3.5,7,5.5,183.5
7,Lootuste Linnutee,3,8,8,,,2,0.5,6,4.5,2,5.5,4,3,3.5,9,,5,3,8,7,10,7,7.5,6,1,2,8,9,,7,,3,6,,3,7.5,4,8.5,171.5
8,AO,5,6,,6,5,8,3,4,4.5,3,2,10,4,8,3.5,2,7,,4.5,8,5,5,,8,,4,7,6,2,7,,5,7,1.5,7,,8,1,167
9,Kanye Westons,1.5,1,5,,1.5,4,0.5,,,,,3,,,,,,1.5,,1.5,,6,1.5,2,8,5,2,2,3.5,,3,4,,3,4,,3,8.5,75
10,Hullud Ponid,,2,,,,3,,9,2.5,0.5,,,,,,4,2,8,2,,6,,3,4.5,,,4,,5.5,2,,,,,5,5,,,68
11,Ma Tean Seda Lugu Küll,8,,1,3,,,6,1,2.5,,7,1,1,1,1,3,1,6.5,,,,2,,,6.5,0.5,1,3,,1,6,,,,,,,,63
12,Hunt,7,4.5,4,,1.5,1,2,2,,,5.5,,2,5,,,,,4.5,,1,3,1.5,1,4,0.5,,1,,,0.5,1,2.5,1.5,,3.5,2,,62
13,Rock Üllatus,,,,,,,4,6,1,0.5,4,,,,,,,,,,2,,,,6.5,,,,,,2,,,,,,,,26
14,Liiviste,,,,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,0.5,,,4.5,1,1,,,14
15,Erinevad Esitajad,,,,4.5,,,,,,,,,,,2,,,,,,,,,,,,,,,7,,,,,,,,,13.5
16,Lendavad Ruudulised Sebrad,,,,4.5,3,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,2.5,,,,,,11.5
17,Kringel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,9.5
18,Karini Saiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3.5,4.5
19,Tark Liha,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
