08
1,Sexwave,10,,9,4,7.5,6,9,9,4,7,8.5,9,7.5,7,6,10,10,10,7,2.5,10,6.5,10,,7.5,10,9,7,9,10,2.5,6.5,8,10,6,10,7,6.5,10,288.5
2,Verine Akordion,9,10,,5,6,9,7,10,9,8,8.5,6,9,6,8,9,4,8.5,6,10,7,,2.5,8,7.5,6,7.5,10,6.5,7,10,8,9,9,7,8,8,9,4.5,282.5
3,Mikri Hiir,0.5,8,7.5,10,,10,8,5,7,10,6,7,10,10,5,1,2,3,10,8,4,10,6,9,9,,3,8,10,8,2.5,6.5,10,8,10,7,9,10,8,266
4,Autorollo,7,6,6,8,9,,10,4,10,9,7,4,4,8,10,7.5,8,7,9,6,9,6.5,7.5,5,,7,10,3.5,4,6,6.5,10,4,7,8.5,6,,3.5,7,250.5
5,Softgrunge,3.5,9,7.5,9,1,5,,7,8,,4,8,7.5,5,7,,4,8.5,,7,,,,10,3,9,6,,2.5,5,4.5,,7,6,8.5,9,3,8,1,183.5
6,Lootuste Linnutee,8,7,1,,10,8,3,,,,,2,6,9,9,5,4,,8,9,6,4,9,3.5,10,5,,,8,2,1,5,0.3,,0.5,2,4,6.5,6,161.8
7,Tuulispask,5,1.5,4,1,,7,1,,,1,10,10,5,4,1,6,7,,4,1,5,8,2.5,1.5,1,2,7.5,9,2.5,,9,9,6,3,4.5,1,10,2,9,161
8,Hullud Ponid,3.5,4,10,,7.5,3,4.5,6,5.5,3,,5,3,,4,,1,4.5,5,4,1,9,,,6,8,1,1,,9,4.5,4,3,5,2.5,,6,5,4.5,143
9,Erinevad Hundid,,,3,2,4,4,4.5,2.5,5.5,3,5,,2,3,,,,2,3,,8,5,7.5,3.5,5,3.5,2,2,,3.5,,3,5,4,,5,,,,100.5
10,Ambitious Outsiders,6,3,5,7,,,6,8,2,,,,,2,,7.5,,,,,3,2,4,7,2,1,,3.5,5,1,8,,,2,4.5,3,5,,3,100.5
11,Kanye Westons,,5,2,6,2,2,2,1,3,,1,3,,1,3,2,,6,,,2,,0.5,6,,3.5,5,5,6.5,3.5,,,2,,2.5,,2,3.5,,81
12,Ma Tean Seda Lugu Küll,2,,,3,,1,,2.5,,6,,1,1,,,3,,1,1,2.5,,3,5,1.5,4,,4,,,,,1,0.3,,,,1,1,,44.8
13,Lendavad Ruudulised Sebrad,,1.5,,,,,,,,5,2.5,,,,,,6,,,5,,,0.5,,,,,,1,,,,,,0.5,,,,,22
14,Rock Üllatus,,,,,,,,,,,,,,,,4,,,,,,,,,,,,6,,,6.5,,,,,,,,,16.5
15,Hommik,,,,,5,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,,,,15
16,Liiviste,,,,,3,,,,1,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,13.5
17,Karini Saiad,,,,,,,,,,,,,,,2,,,4.5,,,,,,,,,,,,,,,,,,,,,,6.5
18,Liiga Palju Möla,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3,1,,,,,2,5.8
19,Kuulaja Kõrva Ei Röögita,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
