09
1,Mikri Hiir,7.5,8.5,9,,8,8,6,10,7.5,10,8.5,10,10,10,7,10,10,10,7.5,3,10,10,,4,9,10,6,209.5
2,Sexwave,5.5,,10,8,6.5,10,10,9,9,8,5,7,2,7,10,8,6,7,9,4.5,9,6.5,8,6,,9,9.5,189.5
3,Verine Akordion,5.5,6,,9,6.5,7,4,8,10,5,10,9,7,9,8,5,9,8.5,10,10,5,,6,5,10,8,7.5,188
4,Lootuste Linnutee,3,8.5,,5,10,9,7.5,,5,4,6,8,9,8,9,9,3,8.5,7.5,8.5,8,4,9,3,8,1,7.5,169
5,Autorollo,4,7,6,7,9,,9,6.5,1.5,6,7,6,8,3,3,7,5,4,,7,2,6.5,7,9,6,5,5,146.5
6,Softgrunge,9,10,8,10,5,5,,6.5,,,8.5,2.5,,6,6,,7,5,6,4.5,4,8,5,,7,7,3,133
7,Tuulispask,7.5,1,2.5,6,3.5,2,2,5,3,,4,,4,5,5,3,,,1.5,6,7,5,3,10,4,3,9.5,102.5
8,Audio Video Disko,10,4,4,,1,6,4,1,,3,2.5,5,5,2,,4,2,2,1.5,1.5,6,3,10,,,6,4,87.5
9,Hullud Ponid,2,3,7,1,,3,,4,1.5,7,2.5,2.5,,,2,,8,3,4.5,1.5,,9,4,7.5,5,2,0.5,80.5
10,Erinevad Hundid,1,5,1,3,3.5,4,7.5,2,6,2,,,1,4,1,6,,6,4.5,8.5,1,2,2,2,3,4,0.5,80.5
11,Ambitious Outsiders,,2,5,,,,4,,7.5,9,,4,,,4,2,,,,,,,,7.5,0.5,,,45.5
12,Kuulaja Kõrva Ei Röögita,,,,,2,1,,3,,0.5,,1,,1,,1,,1,3,,,,,,2,,2,17.5
13,Lendavad Ruudulised Sebrad,,,,2,,,1,,,0.5,1,,6,,,,,,,,,,,1,0.5,,,12
14,Kanye Westons,,,2.5,,,,,,4,,,,,,,,,,,,,1,1,,,,,8.5
15,Karini Saiad,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,8
16,Liiga Palju Möla,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,4
17,Hommik,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
